magnitude,min_r,max_d,post_r,post_d,edge_pct,hybrid_pct,cloud_pct,switches,adwin_step,adwin_delay,persistent_events,adapt_triggers,deployments,final_version,entered_edge,entered_hybrid,entered_cloud,valid_bounds
2.0,0.5968434120745001,0.729870308737376,0.9443568415173659,0.18493593014054238,100.0,0.0,0.0,0,12575,75,100,2,0,v1,True,False,False,True
3.0,0.5520562412950738,0.7644641832448796,0.9049473402462618,0.2912008282306444,100.0,0.0,0.0,0,12543,43,100,2,0,v1,True,False,False,True
4.0,0.5001744282306462,0.7998883537622753,0.8566670761713042,0.3973628192324664,100.0,0.0,0.0,0,12543,43,100,2,0,v1,True,False,False,True
5.0,0.44091191897790577,0.8353125242796711,0.7960420533679184,0.5035214339265204,99.88,0.12,0.0,12,12543,43,100,2,0,v1,True,True,False,True
6.0,0.4363199208480165,0.8378619963602699,0.7910719447403132,0.5111663807064779,99.88,0.12,0.0,12,12543,43,100,2,0,v1,True,True,False,True
8.0,0.4363199208480165,0.8378619963602699,0.7910719447403132,0.5111663807064779,99.88,0.12,0.0,12,12543,43,100,2,0,v1,True,True,False,True
10.0,0.4363199208480165,0.8378619963602699,0.7910719447403132,0.5111663807064779,99.88,0.12,0.0,12,12543,43,100,2,0,v1,True,True,False,True
