seed,max_d,min_d,post_d,min_r,post_r,reaches_d_1,reaches_eps_floor,has_nan,has_inf,within_bounds,classification
42,0.9651778611775044,0.016811190954898036,0.8926195247365452,0.12611392212704003,0.32380757818078815,False,False,False,False,True,CLASS A — STABLE
123,0.9651778611775044,0.016811190954898036,0.8926195247365452,0.12611392212704003,0.32380757818078815,False,False,False,False,True,CLASS A — STABLE
456,0.9651778611775044,0.016811190954898036,0.8926195247365452,0.12611392212704003,0.32380757818078815,False,False,False,False,True,CLASS A — STABLE
789,0.9651778611775044,0.016811190954898036,0.8926195247365452,0.12611392212704003,0.32380757818078815,False,False,False,False,True,CLASS A — STABLE
2024,0.9651778611775044,0.016811190954898036,0.8926195247365452,0.12611392212704003,0.32380757818078815,False,False,False,False,True,CLASS A — STABLE
