configuration,post_drift_macro_f1,cloud_offloading_percentage,mean_latency_ms,drift_signal_used,adaptation_used
STATIC_BASELINE,0.49899799599198397,0.0,0.12087342480309597,NO,NO
ABLATION_NO_DRIFT_SIGNAL,0.85,0.0,0.10997887279730638,NO,NO
DRAEC_WITHOUT_ADAPTATION,0.49899799599198397,0.0,0.11114808480313514,YES,NO
FULL_DRAEC,0.49899799599198397,0.0,0.11284075199792279,YES,YES
