seed,mean_reliability_pre_drift,mean_reliability_post_drift,min_reliability,max_reliability,delta_reliability
42,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,0.0
43,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,0.0
44,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,0.0
45,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,0.0
46,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,3.999999880000005e-08,0.0
