seed,stream_steps,class1_pre,class1_post,class1_total,baseline_s,pre_s_mean,post_s_mean,delta_s,snr,pre_alarms,post_alarms,first_alarm,detection_delay,persistent_events,pre_d_mean,post_d_mean,min_d,max_d,pre_r_mean,post_r_mean,min_r,max_r,edge_count,cloud_count,hybrid_count,switches,pre_accuracy,pre_precision,pre_recall,pre_f1,pre_mcc,post_accuracy,post_precision,post_recall,post_f1,post_mcc,full_accuracy,full_precision,full_recall,full_f1,full_mcc,adaptation_events,successful_deployments,active_version
42,25000,30,50,80,0.12864655656667054,0.11445513539704918,0.3224148678194815,0.2079597324224323,1.286990738564203,0,1,12575,75,0,0.05609739932626021,0.18493593014054238,0.016811190954898036,0.729870308737376,0.9840355337223352,0.9443568415173659,0.5968434120745001,0.9957435450783615,25000,0,0,0,0.9976,0.4988,0.5,0.49939927913496196,0.0,0.996,0.498,0.5,0.49899799599198397,0.0,0.9968,0.4984,0.5,0.49919871794871795,0.0,0,0,v1
123,25000,30,50,80,0.12864655656667054,0.11445513539704918,0.3224148678194815,0.2079597324224323,1.286990738564203,0,1,12575,75,0,0.05609739932626021,0.18493593014054238,0.016811190954898036,0.729870308737376,0.9840355337223352,0.9443568415173659,0.5968434120745001,0.9957435450783615,25000,0,0,0,0.9976,0.4988,0.5,0.49939927913496196,0.0,0.996,0.498,0.5,0.49899799599198397,0.0,0.9968,0.4984,0.5,0.49919871794871795,0.0,0,0,v1
456,25000,30,50,80,0.12864655656667054,0.11445513539704918,0.3224148678194815,0.2079597324224323,1.286990738564203,0,1,12575,75,0,0.05609739932626021,0.18493593014054238,0.016811190954898036,0.729870308737376,0.9840355337223352,0.9443568415173659,0.5968434120745001,0.9957435450783615,25000,0,0,0,0.9976,0.4988,0.5,0.49939927913496196,0.0,0.996,0.498,0.5,0.49899799599198397,0.0,0.9968,0.4984,0.5,0.49919871794871795,0.0,0,0,v1
789,25000,30,50,80,0.12864655656667054,0.11445513539704918,0.3224148678194815,0.2079597324224323,1.286990738564203,0,1,12575,75,0,0.05609739932626021,0.18493593014054238,0.016811190954898036,0.729870308737376,0.9840355337223352,0.9443568415173659,0.5968434120745001,0.9957435450783615,25000,0,0,0,0.9976,0.4988,0.5,0.49939927913496196,0.0,0.996,0.498,0.5,0.49899799599198397,0.0,0.9968,0.4984,0.5,0.49919871794871795,0.0,0,0,v1
2024,25000,30,50,80,0.12864655656667054,0.11445513539704918,0.3224148678194815,0.2079597324224323,1.286990738564203,0,1,12575,75,0,0.05609739932626021,0.18493593014054238,0.016811190954898036,0.729870308737376,0.9840355337223352,0.9443568415173659,0.5968434120745001,0.9957435450783615,25000,0,0,0,0.9976,0.4988,0.5,0.49939927913496196,0.0,0.996,0.498,0.5,0.49899799599198397,0.0,0.9968,0.4984,0.5,0.49919871794871795,0.0,0,0,v1
