condition,total_transmissions,delivered,delivery_rate,failure_rate,loss_rate,mean_simulated_latency_ms,status
normal,0,0,0.0,1.0,0.0,,SIMULATED
high_latency,0,0,0.0,1.0,0.0,,SIMULATED
packet_loss,0,0,0.0,1.0,0.0,,SIMULATED
disconnected,0,0,0.0,1.0,0.0,,SIMULATED
