seed,adaptation_events_count,active_version,cloud_version,edge_version,adaptation_status,recovery_f1
42,0,v1,v1,v1,NOT TRIGGERED,0.0
123,0,v1,v1,v1,NOT TRIGGERED,0.0
456,0,v1,v1,v1,NOT TRIGGERED,0.0
789,0,v1,v1,v1,NOT TRIGGERED,0.0
2024,0,v1,v1,v1,NOT TRIGGERED,0.0
