seed,candidate_version,cloud_version,edge_version,active_system_version,version_update_count
42,,v1,v1,v1,0
123,,v1,v1,v1,0
456,,v1,v1,v1,0
789,,v1,v1,v1,0
2024,,v1,v1,v1,0
