n_features,min_r,max_d,post_r,post_d,pre_alarms,first_alarm_step,adwin_delay,persistent_events,edge_pct,hybrid_pct,cloud_pct,switches,adapt_triggers,deployments,final_version,entered_edge,entered_hybrid,entered_cloud,valid_bounds
5,0.44091191897790577,0.8353125242796711,0.7960420533679184,0.5035214339265204,0,12543,43,100,99.88,0.12,0.0,12,2,0,v1,True,True,False,True
8,0.12611392212704003,0.9651778611775044,0.32380757818078815,0.8926195247365452,0,12511,11,100,50.032,0.08,49.888,2,2,0,v1,True,True,True,True
10,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
15,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
20,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
25,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
30,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
37,3.9999999463178425e-08,0.9999999999999998,0.0005338391365911151,0.9997547159451342,0,12511,11,100,50.024,0.012,49.964,2,2,0,v1,True,True,True,True
