method,seed,mean_latency_ms,median_latency_ms,p95_latency_ms,max_latency_ms,mean_edge_ms,mean_cloud_ms
EDGE_ONLY,42,0.024691600468941033,0.02384997787885368,0.02952504728455094,0.062000006437301636,0.024691600468941033,0.0
EDGE_ONLY,43,0.02466280059888959,0.024399952962994576,0.025705018197186288,0.051099981646984816,0.02466280059888959,0.0
EDGE_ONLY,44,0.024109801277518272,0.02370000584051013,0.025499964249320328,0.051799986977130175,0.024109801277518272,0.0
EDGE_ONLY,45,0.02431720041204244,0.023800006601959467,0.02570496289990842,0.04449998959898949,0.02431720041204244,0.0
EDGE_ONLY,46,0.024680598522536457,0.024100008886307478,0.026005023391917344,0.061400001868605614,0.024680598522536457,0.0
CLOUD_ONLY,42,26.854508434128675,26.85127228667053,31.404479257603082,33.327567988453886,0.0,6.840085401199758
CLOUD_ONLY,43,26.903765353350707,26.792312455557827,31.378951335833875,48.11389948179967,0.0,6.981367800035514
CLOUD_ONLY,44,26.702744964659633,26.662889817952376,31.230924988605366,79.11588191099348,0.0,6.96222780039534
CLOUD_ONLY,45,27.06462907533677,27.2792946591144,31.33841825446539,32.26487721464341,0.0,6.837420399882831
CLOUD_ONLY,46,27.3789721114127,26.942373260021824,31.507719105908613,151.31902272440527,0.0,7.301630599424243
STATIC_BASELINE,42,0.02510539989452809,0.024200009647756815,0.029099988751113415,0.07660000119358301,0.02510539989452809,0.0
STATIC_BASELINE,43,0.024144402123056352,0.02370000584051013,0.025110013666562726,0.05709996912628412,0.024144402123056352,0.0
STATIC_BASELINE,44,0.024830199545249343,0.02440001117065549,0.02609996881801635,0.05099998088553548,0.024830199545249343,0.0
STATIC_BASELINE,45,0.024753001984208822,0.02400000812485814,0.029514994821511195,0.05140004213899374,0.024753001984208822,0.0
STATIC_BASELINE,46,0.02439599926583469,0.023900007363408804,0.02550501958467066,0.048799964133650064,0.02439599926583469,0.0
DRAEC_WITHOUT_ADAPTATION,42,26.836778631838698,26.916230508707944,31.352252196087775,32.20882452299262,0.0,6.82235559890978
DRAEC_WITHOUT_ADAPTATION,43,26.73594255230836,26.682796510530363,31.166812990772275,32.241757042259394,0.0,6.813544998993166
DRAEC_WITHOUT_ADAPTATION,44,26.601688763858238,26.429945128980272,31.247486845274253,39.33408457417481,0.0,6.861171599593945
DRAEC_WITHOUT_ADAPTATION,45,27.066886475412677,27.233927476977914,31.32951392471209,33.01243342733707,0.0,6.839677799958736
DRAEC_WITHOUT_ADAPTATION,46,26.899885511634317,26.880925022647112,31.415566336627034,32.182569043000015,0.0,6.822543999645859
FULL_DRAEC,42,27.120944233317587,27.129847866505234,31.613555365911676,69.3693729627632,0.0,7.10652120038867
FULL_DRAEC,43,26.767441552341722,26.681835291419766,31.25918928434297,32.0353292947002,0.0,6.8450439990265295
FULL_DRAEC,44,26.712284764424385,26.400513750836232,31.345283416784437,66.1079490603486,0.0,6.971767600160092
FULL_DRAEC,45,27.900131674120704,28.159534334811767,32.15775287198403,95.6340973249665,0.0,7.672922998666763
FULL_DRAEC,46,26.925467311081853,26.911503654035634,31.399995035677822,32.1774737011921,0.0,6.8481257990933955
ABLATION_NO_DRIFT_SIGNAL,42,0.025278599932789803,0.024600012693554163,0.026914972113445387,0.062000006437301636,0.025278599932789803,0.0
ABLATION_NO_DRIFT_SIGNAL,43,0.02476840012241155,0.024200009647756815,0.026404971140436825,0.049600028432905674,0.02476840012241155,0.0
ABLATION_NO_DRIFT_SIGNAL,44,0.02509559947066009,0.024600012693554163,0.026704973424784836,0.05730002885684371,0.02509559947066009,0.0
ABLATION_NO_DRIFT_SIGNAL,45,0.024921800009906292,0.024100008886307478,0.027210029656998803,0.12079998850822449,0.024921800009906292,0.0
ABLATION_NO_DRIFT_SIGNAL,46,0.02452139963861555,0.024100008886307478,0.025599965010769665,0.044300046283751726,0.02452139963861555,0.0
