model,accuracy,precision,recall,f1,mcc,sample_count
EdgeHoeffdingTree,0.71596,0.35798,0.5,0.4172358330031003,0.0,25000
CloudXGBoost,0.6646,0.35029094282341033,0.4641320744175652,0.3992550762946053,-0.14655720141741777,25000
