Method,Edge %,Cloud %,Hybrid %,Offload Ratio %,Mean Switches
STATIC_BASELINE,100.0%,0.0%,0.0%,0.0%,0.0
DRAEC_WITHOUT_ADAPTATION,100.0%,0.0%,0.0%,0.0%,0.0
FULL_DRAEC,100.0%,0.0%,0.0%,0.0%,0.0
